openalex_id,display_name,country_code,type,works_count
https://openalex.org/I63634437,Universidad Autónoma de Madrid,ES,education,104013
https://openalex.org/I904495901,Ruhr University Bochum,DE,education,104000
https://openalex.org/I1334819555,Memorial Sloan Kettering Cancer Center,US,healthcare,103778
https://openalex.org/I193531525,George Washington University,US,education,103475
https://openalex.org/I24354313,University of Buenos Aires,AR,education,103464
https://openalex.org/I165690674,Oregon Health & Science University,US,education,103457
https://openalex.org/I146416000,University of Kansas,US,education,103313
https://openalex.org/I121934306,Tufts University,US,education,102872
https://openalex.org/I134820265,Consejo Superior de Investigaciones Científicas,ES,government,102628
https://openalex.org/I865915315,Vrije Universiteit Amsterdam,NL,education,102389
https://openalex.org/I184565670,Georgetown University,US,education,102229
https://openalex.org/I44260953,Heinrich Heine University Düsseldorf,DE,education,102093
https://openalex.org/I4210126298,Duke Medical Center,US,healthcare,102022
https://openalex.org/I93860229,Politecnico di Milano,IT,education,101815
https://openalex.org/I1282105669,Argonne National Laboratory,US,facility,101621
https://openalex.org/I113306721,Hiroshima University,JP,education,101346
https://openalex.org/I157485424,Korea Advanced Institute of Science and Technology,KR,education,101133
https://openalex.org/I39343248,Humboldt-Universität zu Berlin,DE,education,100932
https://openalex.org/I131249849,Oregon State University,US,education,100822
https://openalex.org/I46247651,University of Manitoba,CA,education,100694
https://openalex.org/I1288882113,Boston Children's Hospital,US,healthcare,100482
https://openalex.org/I197347611,Korea University,KR,education,100442
https://openalex.org/I277688954,Université Paris-Saclay,FR,education,100411
https://openalex.org/I145487455,Cairo University,EG,education,99339
https://openalex.org/I103163165,Florida State University,US,education,99324
https://openalex.org/I204778367,Norwegian University of Science and Technology,NO,education,98385
https://openalex.org/I161593684,Stockholm University,SE,education,97987
https://openalex.org/I3923682,Soochow University,CN,education,97273
https://openalex.org/I1292875679,Commonwealth Scientific and Industrial Research Organisation,AU,government,97019
https://openalex.org/I19894307,Université de Montpellier,FR,education,96632
https://openalex.org/I173304897,Universidad de Granada,ES,education,96395
https://openalex.org/I1312222531,Agricultural Research Service,US,government,96361
https://openalex.org/I86987016,KTH Royal Institute of Technology,SE,education,96301
https://openalex.org/I4210112217,NamesforLife (United States),US,company,95741
https://openalex.org/I157614274,University of Cape Town,ZA,education,95619
https://openalex.org/I4210119109,Indiana University Bloomington,US,education,95385
https://openalex.org/I69737025,University of Chile,CL,education,95168
https://openalex.org/I4577782,Technische Universität Berlin,DE,education,94831
https://openalex.org/I168719708,City University of Hong Kong,HK,education,94608
https://openalex.org/I126596746,Jagiellonian University,PL,education,94433
https://openalex.org/I102197404,Université Paris-Sud,FR,education,94431
